c_1_11_502	3	[-121.71395, -252.4333, -48.01641, -17.678478, -29.270771]
c_1_11_503	2	[-167.62537, -265.8872, -157.25127, -341.59445, -521.97424]
c_1_11_512	3	[-128.09854, -255.7296, -60.656677, -50.61338, -85.2212]
c_1_11_527	2	[-157.7186, -248.64276, -135.827, -302.00568, -478.5319]
c_1_11_530	0	[-265.8332, -317.84305, -347.41058, -812.4488, -1241.9598]
c_1_11_540	2	[-178.41159, -275.71353, -133.7412, -252.36739, -399.93942]
c_1_11_541	0	[-180.65813, -264.43546, -198.65027, -460.17776, -703.1254]
c_1_11_545	2	[-132.28786, -257.62857, -65.34552, -66.237495, -112.81833]
c_1_11_553	1	[-400.0029, -344.772, -608.0417, -1570.2701, -2378.6865]
c_1_11_555	2	[-140.21368, -256.10602, -94.69349, -166.41075, -259.15762]
c_1_11_556	0	[-275.54486, -299.84183, -345.3508, -851.89233, -1308.86]
c_1_11_560	2	[-139.61989, -260.59335, -79.71731, -106.36461, -169.31175]
c_1_11_569	2	[-130.82709, -257.2493, -65.56783, -65.991585, -113.53106]
c_1_11_572	2	[-154.67851, -267.44684, -113.00682, -209.1567, -323.29123]
c_1_11_579	2	[-136.36958, -256.10788, -73.92233, -89.44303, -140.47388]
c_1_11_58	1	[-817.1398, -586.6341, -1241.9053, -2942.8877, -4414.1387]
c_1_11_582	2	[-169.51128, -267.12924, -154.39267, -323.347, -518.5326]
c_1_11_588	1	[-403.63852, -342.68814, -516.46277, -1283.1372, -1967.2673]
c_1_11_59	2	[-161.01, -257.55237, -108.49753, -204.91284, -327.1385]
c_1_11_594	3	[-132.3187, -259.8693, -65.64979, -58.73463, -95.09843]
c_1_11_598	3	[-128.08165, -255.8955, -59.192635, -49.458668, -85.91808]
c_1_11_603	0	[-278.19446, -323.13004, -334.59628, -839.7729, -1312.3896]
c_1_11_607	2	[-132.64948, -251.3453, -70.670006, -93.75012, -151.08475]
c_1_11_609	2	[-135.4323, -261.4267, -72.94499, -76.45651, -123.452415]
c_1_11_610	2	[-140.46576, -266.84058, -75.74324, -76.716736, -124.454445]
c_1_11_612	0	[-271.87405, -295.79318, -359.5458, -917.25525, -1404.9746]
c_1_11_614	2	[-221.55545, -291.14395, -217.37572, -476.95764, -741.87665]
c_1_11_615	0	[-311.9617, -319.04596, -404.81686, -986.6684, -1500.2938]
c_1_11_618	1	[-461.81497, -420.51514, -733.0717, -1840.624, -2767.9001]
c_1_11_620	0	[-188.848, -268.69656, -195.48634, -452.39822, -696.2402]
c_1_11_625	2	[-192.47733, -267.79532, -152.80835, -342.67368, -539.8321]
c_1_11_630	0	[-260.62424, -303.33145, -307.34607, -809.84955, -1259.4249]
c_1_11_632	0	[-245.50923, -305.7561, -291.86917, -663.085, -1019.51227]
c_1_11_634	2	[-169.67871, -279.96643, -127.59437, -234.98915, -382.30002]
c_1_11_64	0	[-325.7187, -330.67722, -430.64764, -1080.5844, -1660.2681]
c_1_11_644	2	[-181.78719, -261.01102, -168.74217, -398.17227, -643.47986]
c_1_11_648	3	[-120.302765, -251.26079, -48.382168, -20.789118, -29.270378]
c_1_11_65	2	[-143.40247, -260.9313, -87.93298, -123.11251, -198.52008]
c_1_11_653	1	[-626.04535, -464.42682, -961.1571, -2448.2163, -3734.6104]
c_1_11_655	0	[-278.05472, -316.1698, -381.40927, -897.0876, -1356.313]
c_1_11_658	2	[-155.8056, -255.71997, -105.63702, -202.87633, -324.79846]
c_1_11_659	2	[-214.55536, -272.85248, -200.30104, -475.79257, -759.07074]
c_1_11_660	2	[-154.85233, -262.84103, -106.71343, -193.82988, -318.87476]
c_1_11_664	2	[-129.03003, -251.62729, -73.63338, -101.18085, -153.16457]
c_1_11_67	2	[-167.24301, -254.3736, -127.2048, -292.5618, -478.8079]
c_1_11_671	2	[-139.54236, -261.8877, -80.26374, -94.3677, -145.05199]
c_1_11_673	1	[-348.6043, -330.19058, -492.30457, -1263.0587, -1943.2913]
c_1_11_676	0	[-281.5993, -312.38528, -330.1919, -767.9611, -1171.8683]
c_1_11_680	1	[-401.23895, -374.0713, -630.38873, -1574.1614, -2354.8252]
c_1_11_685	0	[-231.7981, -291.528, -282.39114, -656.68756, -995.0245]
c_1_11_697	2	[-152.96729, -260.10574, -97.44644, -171.22708, -277.1751]
c_1_11_70	1	[-1263.8943, -856.26447, -1811.5873, -4095.6802, -6089.688]
c_1_11_700	0	[-201.33305, -270.7916, -215.42905, -513.9122, -804.471]
c_1_11_704	2	[-138.98083, -258.08716, -78.04172, -121.98859, -200.2905]
c_1_11_705	2	[-163.13492, -260.931, -132.62328, -268.47568, -418.88437]
c_1_11_708	2	[-131.14433, -251.77556, -63.75232, -76.30442, -132.66371]
c_1_11_709	2	[-143.28908, -261.48645, -99.05337, -154.71826, -229.44972]
c_1_11_71	2	[-153.91576, -258.57825, -101.04775, -194.35023, -321.80905]
c_1_11_713	2	[-157.62985, -265.88583, -117.36737, -208.83167, -318.11273]
c_1_11_719	0	[-249.63075, -316.7346, -281.8539, -634.341, -978.4215]
c_1_11_720	1	[-359.85428, -351.0266, -492.7137, -1221.083, -1862.3319]
c_1_11_722	2	[-174.19678, -258.301, -127.86676, -285.90286, -455.84088]
c_1_11_726	2	[-144.53845, -264.14804, -95.793, -142.91199, -235.36429]
c_1_11_727	2	[-146.47394, -256.59796, -94.433014, -160.21002, -254.87926]
